tier_id	participant	start_time3	start_time2	start_time1	end_time3	end_time2	end_time1	content
Section		00:00:00.000	0.0	0	00:01:29.260	89.26	89260	00:01:29.260	89.26	89260	Introduction
Section		00:01:29.260	89.26	89260	00:04:13.000	253.0	253000	00:02:43.740	163.74	163740	Question1
Section		00:04:13.000	253.0	253000	00:07:22.159	442.159	442159	00:03:09.159	189.159	189159	Ranking1
Section		00:07:22.159	442.159	442159	00:09:17.050	557.05	557050	00:01:54.891	114.891	114891	Question2
Section		00:09:17.050	557.05	557050	00:10:06.486	606.486	606486	00:00:49.436	49.436	49436	Ranking2
Section		00:10:06.486	606.486	606486	00:11:57.650	717.65	717650	00:01:51.164	111.164	111164	Question3
Section		00:11:57.650	717.65	717650	00:16:58.468	1018.468	1018468	00:05:00.818	300.818	300818	Ranking3
Section		00:16:58.468	1018.468	1018468	00:19:45.448	1185.448	1185448	00:02:46.980	166.98	166980	Question4
Section		00:19:45.448	1185.448	1185448	00:20:37.180	1237.18	1237180	00:00:51.732	51.732	51732	Ranking4
Section		00:20:37.180	1237.18	1237180	00:20:50.220	1250.22	1250220	00:00:13.040	13.04	13040	Closing
P035_Aurora_utt	P035	00:00:00.000	0.0	0	00:01:40.560	100.56	100560	00:01:40.560	100.56	100560	
P035_Aurora_utt	P035	00:01:40.560	100.56	100560	00:01:42.430	102.43	102430	00:00:01.870	1.87	1870	And like a killer.
P035_Aurora_utt	P035	00:01:42.430	102.43	102430	00:01:58.980	118.98	118980	00:00:16.550	16.55	16550	
P035_Aurora_utt	P035	00:01:58.980	118.98	118980	00:02:00.060	120.06	120060	00:00:01.080	1.08	1080	Is guaranteed.
P035_Aurora_utt	P035	00:02:00.060	120.06	120060	00:02:14.780	134.78	134780	00:00:14.720	14.72	14720	
P035_Aurora_utt	P035	00:02:14.780	134.78	134780	00:02:15.150	135.15	135150	00:00:00.370	0.37	370	My.
P035_Aurora_utt	P035	00:02:15.150	135.15	135150	00:02:16.540	136.54	136540	00:00:01.390	1.39	1390	
P035_Aurora_utt	P035	00:02:16.540	136.54	136540	00:02:17.270	137.27	137270	00:00:00.730	0.73	730	Like a bear.
P035_Aurora_utt	P035	00:02:17.270	137.27	137270	00:02:27.910	147.91	147910	00:00:10.640	10.64	10640	
P035_Aurora_utt	P035	00:02:27.910	147.91	147910	00:02:31.590	151.59	151590	00:00:03.680	3.68	3680	Well, that like a lion or like some kind of scary animal.
